URL,Size(Bytes),#Outlinks,Type
https://www.nytimes.com/sitemap/1967/11/,82300,63,text/html
https://www.nytimes.com/2022/12/11/nyregion/new-york-subway-fare-mta.html,231619,54,text/html
https://www.nytimes.com/2023/06/28/nyregion/congestion-pricing-nyc.html,212706,49,text/html
https://www.nytimes.com/sitemap/1916/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1916/02/,81927,62,text/html
https://www.nytimes.com/sitemap/1916/12/,82666,64,text/html
https://www.nytimes.com/sitemap/1916/04/,82191,63,text/html
https://www.nytimes.com/issue/todaysheadlines/2023/10/03/todays-headlines,663260,77,text/html
https://www.nytimes.com/2023/10/05/business/tiktok-shop-indonesia-ecommerce-ban.html,210268,47,text/html
https://www.nytimes.com/issue/todaysinyt/2023/10/05/todays-new-york-times-international-edition,496781,64,text/html
https://www.nytimes.com/2023/10/02/nyregion/arthur-engoron-fraud-trial-trump.html,198239,46,text/html
https://www.nytimes.com/2023/10/03/books/review/patrick-stewart-making-it-so.html,222257,61,text/html
https://www.nytimes.com/issue/magazine/2020/02/06/the-2920-issue,291025,57,text/html
https://www.nytimes.com/issue/magazine/2018/09/06/the-9918-issue,331954,61,text/html
https://www.nytimes.com/issue/magazine/2018/10/08/the-100718-issue,305263,59,text/html
https://www.nytimes.com/issue/magazine/2018/02/01/12818-issue,312914,61,text/html
https://www.nytimes.com/issue/magazine/2017/03/03/magazine-index-20170305,331616,61,text/html
https://www.nytimes.com/issue/magazine/2023/05/26/the-52823-issue,267696,53,text/html
https://www.nytimes.com/issue/magazine/2021/06/04/the-6621-issue,305179,59,text/html
https://www.nytimes.com/issue/magazine/2022/10/28/the-103022-issue,254018,51,text/html
https://www.nytimes.com/issue/magazine/2019/10/11/the-101319-issue,239985,49,text/html
https://www.nytimes.com/issue/magazine/2019/12/24/the-122919-issue,442130,81,text/html
https://www.nytimes.com/issue/magazine/2018/03/30/3418-issue,320450,61,text/html
https://www.nytimes.com/2023/10/05/movies/the-royal-hotel-review.html,220915,52,text/html
https://www.nytimes.com/2023/10/02/style/eye-contact-dating-intimacy-non-monogamous.html,252100,41,text/html
https://www.nytimes.com/2023/10/04/arts/television/snl-return-pete-davidson.html,197768,52,text/html
https://www.nytimes.com/issue/magazine/2022/03/25/the-32722-issue,266587,53,text/html
https://www.nytimes.com/2023/10/01/us/politics/trump-campaign-iowa.html,205753,47,text/html
https://www.nytimes.com/issue/magazine/2023/05/12/the-51423-issue,266982,53,text/html
https://www.nytimes.com/2023/10/03/opinion/life-expectancy-college-degree.html,234703,72,text/html
https://www.nytimes.com/2023/10/03/business/media/elemental-pixar-box-office.html,213698,45,text/html
https://www.nytimes.com/2023/10/03/style/valentino-sacai-paris-fashion-week.html,229747,44,text/html
https://www.nytimes.com/issue/magazine/2017/12/01/120317-issue,314311,61,text/html
https://www.nytimes.com/issue/magazine/2017/05/19/magazine-index-20170521,410925,61,text/html
https://www.nytimes.com/issue/magazine/2022/08/05/the-8722-issue,267349,53,text/html
https://www.nytimes.com/2023/10/04/business/liu-yiqian-sothebys-china-art-modigliani.html,240825,46,text/html
https://www.nytimes.com/2023/10/04/business/wendys-mcdonalds-burgers-lawsuit.html,195409,41,text/html
https://www.nytimes.com/issue/magazine/2020/05/29/the-53120-issue,371816,61,text/html
https://www.nytimes.com/2023/10/02/video/russia-nuclear-missile.html,228668,41,text/html
https://www.nytimes.com/2023/10/03/arts/spooky-podcasts-halloween.html,200729,50,text/html
https://www.nytimes.com/2023/10/05/briefing/biden-border-wall-jon-fosse-nobel.html,269727,73,text/html
https://www.nytimes.com/2023/10/01/world/canada/bear-attack-banff-national-park-canada.html,202334,45,text/html
https://www.nytimes.com/2023/10/04/world/europe/barbie-russia-hollywood-ukraine-war.html,213846,58,text/html
https://www.nytimes.com/2023/10/03/briefing/mccarthy-ousted-ftx-trial-bangkok-shooting.html,257723,71,text/html
https://www.nytimes.com/2023/10/02/business/dealbook/bankman-fried-ftx-trial.html,283558,69,text/html
https://www.nytimes.com/2023/10/03/learning/word-of-the-day-curt.html,211643,41,text/html
https://www.nytimes.com/2023/10/03/opinion/teenage-twins-coming-of-age.html,207913,45,text/html
https://www.nytimes.com/2023/10/05/arts/television/october-streaming-movies-tv-shows.html,253859,46,text/html
https://www.nytimes.com/issue/magazine/2017/12/26/122417-issue,312988,61,text/html
https://www.nytimes.com/sitemap/1960/12/,82666,64,text/html
https://www.nytimes.com/sitemap/1960/02/,81933,62,text/html
https://www.nytimes.com/sitemap/1960/10/,82623,64,text/html
https://www.nytimes.com/by/zolan-kanno-youngs,480127,55,text/html
https://www.nytimes.com/2023/08/04/books/review/ann-patchett-on-summer-love-and-her-new-novel.html,242212,79,text/html
https://www.nytimes.com/2023/09/08/books/review/stephen-king-mystery-books-holly.html,248934,79,text/html
https://www.nytimes.com/2023/07/21/books/review/colson-whitehead-on-crook-manifesto-and-harlem-in-the-70s.html,239745,79,text/html
https://www.nytimes.com/2023/09/22/books/review/zadie-smith-drops-in-drew-barrymore-is-eased-out.html,239301,77,text/html
https://www.nytimes.com/2023/09/15/books/review/elon-musk-and-naomi-klein-are-complicated.html,243640,81,text/html
https://www.nytimes.com/2023/07/28/books/review/why-is-it-so-darn-hot.html,243724,79,text/html
https://www.nytimes.com/2023/08/11/books/review/swallowed-by-a-whale-and-other-august-books.html,244755,78,text/html
https://www.nytimes.com/2022/10/07/world/americas/venezuelan-migrants-us-border.html?action=click&pgtype=Article&state=default&module=styln-darien-gap&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,319467,50,text/html
https://www.nytimes.com/2023/08/18/us/politics/illegal-border-crossings.html,198186,42,text/html
https://www.nytimes.com/by/miriam-jordan,580953,54,text/html
https://www.nytimes.com/by/eileen-sullivan,598222,55,text/html
https://www.nytimes.com/2023/08/18/books/review/amor-towles-sees-dead-people.html,244611,79,text/html
https://www.nytimes.com/sitemap/1966/02/,81567,61,text/html
https://www.nytimes.com/sitemap/1966/04/,82185,63,text/html
https://www.nytimes.com/sitemap/1966/06/,82149,63,text/html
https://www.nytimes.com/sitemap/1966/08/,82591,64,text/html
https://www.nytimes.com/sitemap/1966/10/,82629,64,text/html
https://www.nytimes.com/sitemap/1966/12/,82666,64,text/html
https://www.nytimes.com/sitemap/1966/03/,82554,64,text/html
https://www.nytimes.com/sitemap/1966/05/,82480,64,text/html
https://www.nytimes.com/sitemap/1966/07/,82517,64,text/html
https://www.nytimes.com/sitemap/1966/09/,82329,63,text/html
https://www.nytimes.com/sitemap/1966/01/,82622,64,text/html
https://www.nytimes.com/sitemap/1966/11/,82300,63,text/html
https://www.nytimes.com/sitemap/1912/03/,82548,64,text/html
https://www.nytimes.com/sitemap/1912/05/,82480,64,text/html
https://www.nytimes.com/sitemap/1912/07/,82511,64,text/html
https://www.nytimes.com/sitemap/1912/09/,82335,63,text/html
https://www.nytimes.com/sitemap/1912/11/,82300,63,text/html
